customer_message,support_response,intent
What channel are you on with verizon nyc,What channel are you looking for on Fios?,tv_fios_content
And charge the average person 700 for a phone with 130 dollar bill not even unlimited but give the rich free stuff. shame shame.,Please contact our friends for assistance.,billing_charges
"Service providers (like Verizon, directive, etc. ) want to charge extra money for internet services",This is not the perception we want you to have of us. Allow us to turn this around for you. How can we assist?,internet_wifi_issue
Help locked out of mail when I try to recover it gives me a key to input then redirects me to,We are here for you. Do you happen to have your accounts linked and have you attempted to sign in on another device with the same issue?,complaint_escalation
"My Verizon WiFi is so slow, I gave up trying to access your awards program.",We never want to hear this and want to provide the correct support. Is this regarding your Mobile or Residential services?,internet_wifi_issue
"@VerizonSupport Verizon Jetpack, MiFi.. Local office sold me 4g, saying I have 4g service. Doesn't work, primarily 3g",Understood. We will have to refer this to our wireless counterparts for all your jet pack concerns.,mobile_phone_issue
@VerizonSupport I have been on the phone with Verizon support all day yesterday they cannot figure out the problem yes other devices and my laptop,Can you log into your Verizon account?,mobile_phone_issue
@VerizonSupport No that's the problem,Please follow and DM us.,internet_wifi_issue
@VerizonSupport opened the my fios app and it was someone else's similar name and account. Logged out and back in. Fixed. But strange.,That is strange. Keep us updated if anything else weird happens like that.,account_login
Want to start up service but cannot make progress with by email or FB...,"Hi Elaine, are you looking for Verizon Wireless or Verizon Fios service?",plan_product_upgrade
"Wireless, keeping in mind the upload frequently exceeds 100mbps",Thanks! Have you already tried factory resetting the router by holding down the reset button on the back for 15 seconds?,mobile_phone_issue
No one that every used their cable company liked them.,"We want you to like us. If you ever need anything, we're right here to help.",tv_fios_content
Really endearing that keeps telling me to hurry and sign up for limited time offers when they don’t serve my house yet.,You can check for avail and status here. https://t.co/Y42XTgUPzL,complaint_escalation
".@VerizonSupport I signed up already. You texted me, called me, and emailed me to tell me service was available. It wasn’t. https://t.co/t0bXnZASfD",That is strange. Please follow and DM us so that we can investigate this for you!,mobile_phone_issue
".@VerizonSupport Already gone round w/ support. Unless y’all won’t follow up when it’s really avail like you said you would, no thank you. https://t.co/jJiq2TnK5n","We can help and will follow up, just need you to DM us.",internet_wifi_issue
u guys are really horrible service and I'm going to switch to Verizon when they come knocking on my door,We would love to have you.,plan_product_upgrade
"-Holding &gt;50 min w/VZ ""support."" 5 days w/ no voice service for many.Issue /395 S. End Ave. Pls reply.",God evening was that for your home or cell voice services?,internet_wifi_issue
how do I stop getting weekly junk mail from you without making formal / MD A.G. complaint? Happy .,We're happy to hear you're happy with us! Please let us know if you have any issues with your service.,complaint_escalation
"Hey, @VerizonSupport, figured out what Error 7613 is in your crappy mobile app yet? Hah. Of COURSE you haven't, you bunch of jackoffs.",Are you watching on your home wifi network right now?,mobile_phone_issue
"@VerizonSupport yep, as always. ONLY Monday Night Football HAS EVER PRODUCED THIS ERROR AND IT HAS DONE IT FOR FOUR YEARS ON MOST DEVICES.",Are you trying to watch the game in the Fios Mobile app or the NFL Mobile app?,internet_wifi_issue
"@VerizonSupport YOUR mobile app. Don't try to blame somebody else, you guys own this piece of crap.",You can report problems with the app by going to dashboard&gt; Help&gt; report problem.,mobile_phone_issue
I SO wanted to watch this one! Dang fix my 😤 https://t.co/piks7nzcwL,We will be happy to help. What seems to be the problem that you are having?,internet_wifi_issue
"@VerizonSupport do you have a 30 day wait to return complaints from a 13 year customer. Bad, very bad attitude of VERIZON. USE Other Carrier",Is this for your Verizon residential or Verizon wireless mobile?,complaint_escalation
@VerizonSupport We only have cable on 1 TV so #yes it's happening on all of our tvs 📺,What happens when you try to watch the channel?,tv_fios_content
