customer_message,support_response
What channel are you on with verizon nyc,@432923 What channel are you looking for on Fios?  ^DFM
@516567 @115725 And charge the average person 700 for a phone with 130 dollar bill not even unlimited but give the rich free stuff. shame @115725 shame.,"@516565 Please contact our friends @115990 for assistance.
^TXA"
"@773565 @773566 Service providers (like Verizon, directive, etc. ) want to charge extra money for internet services",@773563 This is not the perception we want you to have of us. Allow us to turn this around for you. How can we assist? ^DDG
Help locked out of @119033 mail when I try to recover it gives me a key to input then redirects me to @115725,@529965 We are here for you. Do you happen to have your accounts linked and have you attempted to sign in on another device with the same issue?^JRA
"@115725 @143798 My Verizon WiFi is so slow, I gave up trying to access your awards program.",@347491 We never want to hear this and want to provide the correct support. Is this regarding your Mobile or Residential services? ^JRA
"@VerizonSupport Verizon Jetpack, MiFi.. Local office sold me 4g, saying I have 4g service. Doesn't work, primarily 3g",@347491 Understood. We will have to refer this to our wireless counterparts @115990 for all your jet pack concerns. ^JRA
@VerizonSupport I have been on the phone with Verizon support all day yesterday they cannot figure out the problem yes other devices and my laptop,"@529965 Can you log into your Verizon account? 
^TDC"
@VerizonSupport No that's the problem,"@529965 Please follow and DM us.
^JAY"
@VerizonSupport opened the my fios app and it was someone else's similar name and account. Logged out and back in. Fixed. But strange.,@461583 That is strange.  Keep us updated if anything else weird happens like that. ^BCW
Want to start up service but cannot make progress with @115725 by email or FB...,"@820407 Hi Elaine, are you looking for Verizon Wireless or Verizon Fios service? 
^FEM"
"@115722 Wireless, keeping in mind the upload frequently exceeds 100mbps",@487345 Thanks! Have you already tried factory resetting the router by holding down the reset button on the back for 15 seconds? ^DDD
@476910 @115722 No one that every used their cable company liked them.,"@476909 We want you to like us.  If you ever need anything, we're right here to help. ^BCW"
Really endearing that @115722 keeps telling me to hurry and sign up for limited time offers when they don’t serve my house yet.,@503455 You can check for avail and status here.  https://t.co/Y42XTgUPzL ^CAR
".@VerizonSupport  I signed up already. You texted me, called me, and emailed me to tell me service was available. It wasn’t. https://t.co/t0bXnZASfD","@503455 That is strange. Please follow and DM us so that we can investigate this for you!
^HSB"
".@VerizonSupport Already gone round w/ support. Unless y’all won’t follow up when it’s really avail like you said you would, no thank you. https://t.co/jJiq2TnK5n","@503455 We can help and will follow up, just need you to DM us. 
^ACM"
@117890 u guys are really horrible service and I'm going to switch to Verizon when they come knocking on my door,"@221126 We would love to have you. 
^ACM"
